name,targetVersion,minorLine,frameworkDep,publishedAt,alreadyBundled
@activepieces/piece-bigcommerce,0.0.2,0.0,0.20.2,2025-11-04T13:36:32.335Z,false
@activepieces/piece-bigcommerce,0.1.9,0.1,0.30.0,2026-06-11T05:37:42.634Z,false
@activepieces/piece-bigin-by-zoho,0.0.6,0.0,0.20.1,2025-09-08T18:42:17.323Z,false
@activepieces/piece-bigin-by-zoho,0.1.4,0.1,0.30.0,2026-06-11T05:39:29.733Z,false
@activepieces/piece-bika,0.0.6,0.0,0.20.2,2025-11-13T14:43:46.357Z,false
@activepieces/piece-bika,0.1.5,0.1,0.30.0,2026-06-11T05:37:11.085Z,false
@activepieces/piece-billplz,0.0.6,0.0,0.30.0,2026-06-11T05:38:09.183Z,false
@activepieces/piece-binance,0.0.1,0.0,,2023-03-07T18:33:42.750Z,false
@activepieces/piece-binance,0.1.3,0.1,,2023-03-16T01:34:46.548Z,false
@activepieces/piece-binance,0.2.2,0.2,0.3.27,2023-06-10T21:33:09.751Z,false
@activepieces/piece-binance,0.3.7,0.3,0.20.1,2025-09-08T18:42:16.989Z,false
@activepieces/piece-binance,0.4.4,0.4,0.30.0,2026-06-11T05:39:19.496Z,false
@activepieces/piece-bitly,0.0.7,0.0,0.20.2,2025-11-13T14:43:46.224Z,false
@activepieces/piece-bitly,0.1.5,0.1,0.30.0,2026-06-11T05:22:18.556Z,false
@activepieces/piece-bland-ai,0.1.2,0.1,0.30.0,2026-06-11T05:37:26.758Z,false
@activepieces/piece-blockscout,0.0.5,0.0,0.20.1,2025-09-08T18:42:17.295Z,false
@activepieces/piece-blockscout,0.1.4,0.1,0.30.0,2026-06-11T14:00:25.273Z,false
@activepieces/piece-bluesky,0.0.8,0.0,0.20.2,2025-11-13T14:43:46.101Z,false
@activepieces/piece-bluesky,0.1.4,0.1,0.30.0,2026-06-09T06:40:24.668Z,false
@activepieces/piece-bocha-search,0.0.3,0.0,0.31.0,2026-06-16T13:39:12.390Z,false
@activepieces/piece-bokio,0.0.6,0.0,0.30.0,2026-06-11T05:37:47.860Z,false
@activepieces/piece-bolna,0.0.1,0.0,0.20.2,2025-11-20T06:51:11.293Z,false
@activepieces/piece-bolna,0.1.5,0.1,0.30.0,2026-06-11T05:38:24.283Z,false
@activepieces/piece-bonjoro,0.0.10,0.0,0.20.1,2025-09-08T18:42:17.225Z,false
@activepieces/piece-bonjoro,0.1.5,0.1,0.30.0,2026-06-11T05:39:14.509Z,false
@activepieces/piece-bookedin,0.0.1,0.0,0.22.2,2025-12-15T14:02:38.572Z,false
@activepieces/piece-bookedin,0.1.5,0.1,0.30.0,2026-06-11T05:38:29.377Z,false
@activepieces/piece-box,0.0.11,0.0,0.20.1,2025-09-08T18:42:17.480Z,false
@activepieces/piece-box,0.1.5,0.1,0.30.0,2026-06-11T14:01:03.846Z,false
@activepieces/piece-brave-search,0.0.4,0.0,0.30.0,2026-06-11T05:38:59.526Z,false
@activepieces/piece-brilliant-directories,0.0.12,0.0,0.20.1,2025-09-08T18:42:17.151Z,false
@activepieces/piece-brilliant-directories,0.1.5,0.1,0.30.0,2026-06-11T05:38:39.510Z,false
@activepieces/piece-browse-ai,0.0.6,0.0,0.20.1,2025-09-08T18:42:16.216Z,false
@activepieces/piece-browse-ai,0.1.5,0.1,0.30.0,2026-06-11T05:22:35.355Z,false
@activepieces/piece-browserless,0.0.3,0.0,0.20.1,2025-09-08T18:42:16.882Z,false
@activepieces/piece-browserless,0.1.4,0.1,0.30.0,2026-06-11T05:39:24.483Z,false
@activepieces/piece-bubble,0.0.8,0.0,0.20.1,2025-09-08T18:42:16.976Z,false
@activepieces/piece-bubble,0.1.4,0.1,0.30.0,2026-06-11T05:38:34.332Z,false
@activepieces/piece-buffer,0.0.3,0.0,0.30.0,2026-06-11T05:37:36.919Z,false
@activepieces/piece-bumpups,0.0.2,0.0,0.20.1,2025-09-15T19:54:32.356Z,false
@activepieces/piece-bumpups,0.1.5,0.1,0.30.0,2026-06-11T05:40:10.720Z,false
@activepieces/piece-bursty-ai,0.0.2,0.0,0.22.1,2025-12-04T07:37:19.880Z,false
@activepieces/piece-bursty-ai,0.1.5,0.1,0.30.0,2026-06-11T05:41:07.420Z,false
@activepieces/piece-buttondown,0.0.3,0.0,0.30.0,2026-06-11T05:39:40.046Z,false
@activepieces/piece-cal-com,0.0.1,0.0,,2023-03-07T18:33:48.079Z,false
@activepieces/piece-cal-com,0.1.3,0.1,,2023-03-16T01:34:46.767Z,false
@activepieces/piece-cal-com,0.2.4,0.2,0.3.29,2023-06-23T00:19:57.217Z,false
@activepieces/piece-cal-com,0.3.8,0.3,0.20.1,2025-09-08T18:42:16.643Z,false
@activepieces/piece-cal-com,0.4.5,0.4,,2026-06-24T11:13:00.984Z,true
@activepieces/piece-calendly,0.0.1,0.0,,2023-03-07T18:33:46.084Z,false
@activepieces/piece-calendly,0.1.3,0.1,,2023-03-16T01:34:44.935Z,false
@activepieces/piece-calendly,0.2.2,0.2,0.3.27,2023-06-10T21:33:09.537Z,false
@activepieces/piece-calendly,0.3.13,0.3,0.20.1,2025-09-19T20:51:48.004Z,false
@activepieces/piece-calendly,0.4.5,0.4,0.30.0,2026-06-11T14:00:58.630Z,false
@activepieces/piece-rounded-studio,0.0.1,0.0,0.7.46,2025-04-10T06:38:15.310Z,false
@activepieces/piece-rounded-studio,0.1.5,0.1,0.20.1,2025-09-08T18:42:16.632Z,false
@activepieces/piece-rounded-studio,0.2.4,0.2,0.25.4,2026-02-23T09:02:11.020Z,false
@activepieces/piece-camb-ai,0.0.2,0.0,0.20.1,2025-09-23T20:44:24.855Z,false
@activepieces/piece-camb-ai,0.1.5,0.1,0.30.0,2026-06-11T05:40:35.988Z,false
@activepieces/piece-campaign-monitor,0.0.6,0.0,0.20.1,2025-09-08T18:42:17.197Z,false
@activepieces/piece-campaign-monitor,0.1.5,0.1,0.30.0,2026-06-11T05:39:50.514Z,false
@activepieces/piece-canny,0.1.4,0.1,0.30.0,2026-06-11T05:40:05.620Z,false
@activepieces/piece-canva,0.0.3,0.0,0.31.0,2026-06-16T13:38:44.424Z,false
@activepieces/piece-capsule-crm,0.0.2,0.0,0.20.1,2025-09-23T20:44:33.105Z,false
@activepieces/piece-capsule-crm,0.1.4,0.1,0.30.0,2026-06-11T05:41:17.902Z,false
@activepieces/piece-captain-data,0.0.6,0.0,0.20.1,2025-09-08T18:42:17.425Z,false
@activepieces/piece-captain-data,0.1.5,0.1,0.30.0,2026-06-11T05:41:22.853Z,false
@activepieces/piece-carbone,0.0.3,0.0,0.30.0,2026-06-11T05:40:31.016Z,false
@activepieces/piece-cartloom,0.0.10,0.0,0.20.1,2025-09-08T18:42:17.170Z,false
@activepieces/piece-cartloom,0.1.5,0.1,0.30.0,2026-06-11T05:40:41.043Z,false
@activepieces/piece-cashfree-payments,0.0.2,0.0,0.20.2,2025-11-12T14:37:38.623Z,false
@activepieces/piece-cashfree-payments,0.1.5,0.1,0.30.0,2026-06-11T05:41:02.354Z,false
@activepieces/piece-certopus,0.0.1,0.0,0.3.27,2023-06-12T07:14:44.701Z,false
@activepieces/piece-certopus,0.1.10,0.1,0.20.1,2025-09-08T18:42:17.232Z,false
@activepieces/piece-certopus,0.2.5,0.2,0.30.0,2026-06-11T05:40:46.175Z,false
@activepieces/piece-chain-aware,0.0.6,0.0,0.30.0,2026-06-11T05:40:51.329Z,false
@activepieces/piece-chainalysis-api,0.0.6,0.0,0.20.1,2025-09-08T18:42:33.378Z,false
@activepieces/piece-chainalysis-api,0.1.4,0.1,0.30.0,2026-06-11T05:41:12.630Z,false
@activepieces/piece-chaindesk,0.0.1,0.0,0.20.2,2025-11-25T11:34:43.791Z,false
@activepieces/piece-chaindesk,0.1.5,0.1,0.30.0,2026-06-11T05:40:00.310Z,false
@activepieces/piece-chargebee,0.0.3,0.0,0.30.0,2026-06-11T05:39:45.472Z,false
@activepieces/piece-chargekeep,0.0.1,0.0,0.7.33,2024-08-01T13:29:55.110Z,false
@activepieces/piece-chargekeep,0.1.0,0.1,0.7.33,2024-08-09T10:28:38.319Z,false
@activepieces/piece-chargekeep,0.2.7,0.2,0.20.1,2025-09-08T18:42:32.784Z,false
@activepieces/piece-chargekeep,0.3.4,0.3,0.30.0,2026-06-11T05:21:57.567Z,false
